source_locus_tag	target_locus_tag	weight	association	target_organism	target_gene	source_organism	source_gene	cross_species	source_organism_name	target_organism_name	source_gene_product	target_gene_product
Ga0081607_12208	Ga0081607_122010	0.05383	positive	Ga0081607	122010	Ga0081607	12208	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar protein FlgJ	flagellar L-ring protein precursor FlgH
Ga0081607_122010	Ga0081607_12208	0.05383	positive	Ga0081607	12208	Ga0081607	122010	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar L-ring protein precursor FlgH	flagellar protein FlgJ
Ga0081629_11365	Ga0081629_11362	0.05298	positive	Ga0081629	11362	Ga0081629	11365	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein Flp/PilA	pilus assembly protein CpaB
Ga0081629_11362	Ga0081629_11365	0.05298	positive	Ga0081629	11365	Ga0081629	11362	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein CpaB	pilus assembly protein Flp/PilA
Ga0081629_122127	Ga0081607_11332	0.05198	positive	Ga0081607	11332	Ga0081629	122127	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081607_11332	Ga0081629_122127	0.05198	positive	Ga0081629	122127	Ga0081607	11332	True	Methylobacter-123 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	LSU ribosomal protein L35P
Ga0081607_121225	Ga0081607_111619	0.0508	positive	Ga0081607	111619	Ga0081607	121225	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PQQ-dependent dehydrogenase, methanol/ethanol family	mxaJ protein
Ga0081607_111619	Ga0081607_121225	0.0508	positive	Ga0081607	121225	Ga0081607	111619	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	mxaJ protein	PQQ-dependent dehydrogenase, methanol/ethanol family
Ga0081629_12073	Ga0081629_11135	0.05055	positive	Ga0081629	11135	Ga0081629	12073	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	cold-shock DNA-binding protein family	hypothetical protein
Ga0081629_11135	Ga0081629_12073	0.05055	positive	Ga0081629	12073	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	cold-shock DNA-binding protein family
Ga0081629_12085	Ga0081629_12073	0.05048	positive	Ga0081629	12073	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	cold-shock DNA-binding protein family
Ga0081629_12073	Ga0081629_12085	0.05048	positive	Ga0081629	12085	Ga0081629	12073	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	cold-shock DNA-binding protein family	hypothetical protein
Ga0081629_11844	Ga0081629_11135	0.04975	positive	Ga0081629	11135	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	hypothetical protein
Ga0081629_11135	Ga0081629_11844	0.04975	positive	Ga0081629	11844	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	SSU ribosomal protein S20P
Ga0081607_116826	Ga0081607_122015	0.04924	positive	Ga0081607	122015	Ga0081607	116826	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	diguanylate cyclase (GGDEF) domain-containing protein	flagellar basal-body rod protein FlgC
Ga0081607_122015	Ga0081607_116826	0.04924	positive	Ga0081607	116826	Ga0081607	122015	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar basal-body rod protein FlgC	diguanylate cyclase (GGDEF) domain-containing protein
Ga0081607_11869	Ga0081607_11868	0.0491	positive	Ga0081607	11868	Ga0081607	11869	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flavodoxin reductase family protein	hydroxylamine reductase precursor
Ga0081607_11868	Ga0081607_11869	0.0491	positive	Ga0081607	11869	Ga0081607	11868	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hydroxylamine reductase precursor	flavodoxin reductase family protein
Ga0081607_10311	Ga0081607_107612	0.04876	positive	Ga0081607	107612	Ga0081607	10311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_107612	Ga0081607_10311	0.04876	positive	Ga0081607	10311	Ga0081607	107612	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_121225	Ga0081607_111615	0.04871	positive	Ga0081607	111615	Ga0081607	121225	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PQQ-dependent dehydrogenase, methanol/ethanol family	MoxR-like ATPase
Ga0081607_111615	Ga0081607_121225	0.04871	positive	Ga0081607	121225	Ga0081607	111615	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	MoxR-like ATPase	PQQ-dependent dehydrogenase, methanol/ethanol family
Ga0081607_123013	Ga0081607_123012	0.04829	positive	Ga0081607	123012	Ga0081607	123013	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Polyketide cyclase / dehydrase and lipid transport	PAS domain S-box-containing protein
Ga0081607_123012	Ga0081607_123013	0.04829	positive	Ga0081607	123013	Ga0081607	123012	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PAS domain S-box-containing protein	Polyketide cyclase / dehydrase and lipid transport
Ga0081629_10915	Ga0081629_10401	0.04719	positive	Ga0081629	10401	Ga0081629	10915	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	DNA-binding protein HU-beta	flagellin
Ga0081629_10401	Ga0081629_10915	0.04719	positive	Ga0081629	10915	Ga0081629	10401	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	flagellin	DNA-binding protein HU-beta
Ga0081607_113410	Ga0081607_11349	0.04646	positive	Ga0081607	11349	Ga0081607	113410	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	Methyltransferase domain-containing protein
Ga0081607_11349	Ga0081607_113410	0.04646	positive	Ga0081607	113410	Ga0081607	11349	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Methyltransferase domain-containing protein	hypothetical protein
Ga0081629_11135	Ga0081629_10591	0.04638	positive	Ga0081629	10591	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	3-hexulose-6-phosphate synthase
Ga0081629_10591	Ga0081629_11135	0.04638	positive	Ga0081629	11135	Ga0081629	10591	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	3-hexulose-6-phosphate synthase	hypothetical protein
Ga0081629_11362	Ga0081629_12205	0.04588	positive	Ga0081629	12205	Ga0081629	11362	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein CpaB	hypothetical protein
Ga0081629_12205	Ga0081629_11362	0.04588	positive	Ga0081629	11362	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	pilus assembly protein CpaB
Ga0081607_108023	Ga0081607_107940	0.04583	positive	Ga0081607	107940	Ga0081607	108023	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	MraZ protein	hypothetical protein
Ga0081607_107940	Ga0081607_108023	0.04583	positive	Ga0081607	108023	Ga0081607	107940	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	MraZ protein
Ga0081629_10266	Ga0081629_11365	0.04537	positive	Ga0081629	11365	Ga0081629	10266	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	type IV pilus assembly protein PilA	pilus assembly protein Flp/PilA
Ga0081629_11365	Ga0081629_10266	0.04537	positive	Ga0081629	10266	Ga0081629	11365	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein Flp/PilA	type IV pilus assembly protein PilA
Ga0081607_112315	Ga0081607_10822	0.04461	positive	Ga0081607	10822	Ga0081607	112315	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	CTP synthase	Recombination protein MgsA
Ga0081607_10822	Ga0081607_112315	0.04461	positive	Ga0081607	112315	Ga0081607	10822	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Recombination protein MgsA	CTP synthase
Ga0081607_111620	Ga0081607_111615	0.04425	positive	Ga0081607	111615	Ga0081607	111620	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PQQ enzyme repeat-containing protein	MoxR-like ATPase
Ga0081607_111615	Ga0081607_111620	0.04425	positive	Ga0081607	111620	Ga0081607	111615	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	MoxR-like ATPase	PQQ enzyme repeat-containing protein
Ga0081629_10632	Ga0081629_11451	0.04406	positive	Ga0081629	11451	Ga0081629	10632	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	putative DNA-binding protein
Ga0081629_11451	Ga0081629_10632	0.04406	positive	Ga0081629	10632	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	hypothetical protein
Ga0081607_10311	Ga0081607_125326	0.04401	positive	Ga0081607	125326	Ga0081607	10311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_125326	Ga0081607_10311	0.04401	positive	Ga0081607	10311	Ga0081607	125326	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_105315	Ga0081629_11362	0.0439	positive	Ga0081629	11362	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	pilus assembly protein CpaB
Ga0081629_11362	Ga0081629_105315	0.0439	positive	Ga0081629	105315	Ga0081629	11362	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein CpaB	hypothetical protein
Ga0081629_12205	Ga0081629_10478	0.04379	positive	Ga0081629	10478	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	putative sigma-54 modulation protein
Ga0081629_10478	Ga0081629_12205	0.04379	positive	Ga0081629	12205	Ga0081629	10478	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative sigma-54 modulation protein	hypothetical protein
Ga0081629_11844	Ga0081629_11451	0.04379	positive	Ga0081629	11451	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	putative DNA-binding protein
Ga0081629_11451	Ga0081629_11844	0.04379	positive	Ga0081629	11844	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	SSU ribosomal protein S20P
Ga0081629_11135	Ga0081629_10632	0.0431	positive	Ga0081629	10632	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_10632	Ga0081629_11135	0.0431	positive	Ga0081629	11135	Ga0081629	10632	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_109314	Ga0081629_11365	0.04297	positive	Ga0081629	11365	Ga0081629	109314	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	prepilin-type N-terminal cleavage/methylation domain-containing protein	pilus assembly protein Flp/PilA
Ga0081629_11365	Ga0081629_109314	0.04297	positive	Ga0081629	109314	Ga0081629	11365	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein Flp/PilA	prepilin-type N-terminal cleavage/methylation domain-containing protein
Ga0081607_12209	Ga0081607_122010	0.04279	positive	Ga0081607	122010	Ga0081607	12209	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar P-ring protein precursor FlgI	flagellar L-ring protein precursor FlgH
Ga0081607_122010	Ga0081607_12209	0.04279	positive	Ga0081607	12209	Ga0081607	122010	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar L-ring protein precursor FlgH	flagellar P-ring protein precursor FlgI
Ga0081629_12205	Ga0081629_105315	0.04275	positive	Ga0081629	105315	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_105315	Ga0081629_12205	0.04275	positive	Ga0081629	12205	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_11451	Ga0081629_10266	0.04218	positive	Ga0081629	10266	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	type IV pilus assembly protein PilA
Ga0081629_10266	Ga0081629_11451	0.04218	positive	Ga0081629	11451	Ga0081629	10266	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	type IV pilus assembly protein PilA	putative DNA-binding protein
Ga0081629_10591	Ga0081629_11844	0.042	positive	Ga0081629	11844	Ga0081629	10591	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	3-hexulose-6-phosphate synthase	SSU ribosomal protein S20P
Ga0081629_11844	Ga0081629_10591	0.042	positive	Ga0081629	10591	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	3-hexulose-6-phosphate synthase
Ga0081607_121224	Ga0081607_121225	0.04182	positive	Ga0081607	121225	Ga0081607	121224	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	PQQ-dependent dehydrogenase, methanol/ethanol family
Ga0081607_121225	Ga0081607_121224	0.04182	positive	Ga0081607	121224	Ga0081607	121225	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PQQ-dependent dehydrogenase, methanol/ethanol family	hypothetical protein
Ga0081607_11331	Ga0081607_113621	0.04172	positive	Ga0081607	113621	Ga0081607	11331	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	flagellar hook-length control protein
Ga0081607_113621	Ga0081607_11331	0.04172	positive	Ga0081607	11331	Ga0081607	113621	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar hook-length control protein	hypothetical protein
Ga0081629_12085	Ga0081629_11844	0.04147	positive	Ga0081629	11844	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	SSU ribosomal protein S20P
Ga0081629_11844	Ga0081629_12085	0.04147	positive	Ga0081629	12085	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	hypothetical protein
Ga0081607_108422	Ga0081629_12085	-0.04138	negative	Ga0081629	12085	Ga0081607	108422	True	Methylobacter-123 (UID203)	Methylotenera mobilis-49 (UID203)	competence protein ComEA	hypothetical protein
Ga0081629_12085	Ga0081607_108422	-0.04138	negative	Ga0081607	108422	Ga0081629	12085	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	competence protein ComEA
Ga0081607_11288	Ga0081629_122127	-0.04124	negative	Ga0081629	122127	Ga0081607	11288	True	Methylobacter-123 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	LSU ribosomal protein L35P
Ga0081629_122127	Ga0081607_11288	-0.04124	negative	Ga0081607	11288	Ga0081629	122127	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081629_10591	Ga0081629_12073	0.04116	positive	Ga0081629	12073	Ga0081629	10591	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	3-hexulose-6-phosphate synthase	cold-shock DNA-binding protein family
Ga0081629_12073	Ga0081629_10591	0.04116	positive	Ga0081629	10591	Ga0081629	12073	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	cold-shock DNA-binding protein family	3-hexulose-6-phosphate synthase
Ga0081629_12073	Ga0081629_11844	0.04107	positive	Ga0081629	11844	Ga0081629	12073	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	cold-shock DNA-binding protein family	SSU ribosomal protein S20P
Ga0081629_11844	Ga0081629_12073	0.04107	positive	Ga0081629	12073	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	cold-shock DNA-binding protein family
Ga0081629_10373	Ga0081629_11362	0.04103	positive	Ga0081629	11362	Ga0081629	10373	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	formaldehyde activating enzyme	pilus assembly protein CpaB
Ga0081629_11362	Ga0081629_10373	0.04103	positive	Ga0081629	10373	Ga0081629	11362	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein CpaB	formaldehyde activating enzyme
Ga0081607_11332	Ga0081607_11331	0.04095	positive	Ga0081607	11331	Ga0081607	11332	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_11331	Ga0081607_11332	0.04095	positive	Ga0081607	11332	Ga0081607	11331	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_12208	Ga0081607_12606	0.04093	positive	Ga0081607	12606	Ga0081607	12208	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar protein FlgJ	Na+-transporting NADH:ubiquinone oxidoreductase subunit D
Ga0081607_12606	Ga0081607_12208	0.04093	positive	Ga0081607	12208	Ga0081607	12606	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Na+-transporting NADH:ubiquinone oxidoreductase subunit D	flagellar protein FlgJ
